timestamp_iso,Pc_mA,Pu_mA,Pd_mA,P4_mA,DP_mA,Pc_eng,Pu_eng,Pd_eng,P4_eng,DP_eng
2026-03-16T18:18:12.516,41.767065783580954,41.767065783580954,41.767065783580954,35.76298164674614,28.108764699923086,23604.416114738095,23604.416114738095,23604.416114738095,19851.863529216338,301.35955874903857
2026-03-16T18:18:12.609,41.767065783580954,41.767065783580954,41.767065783580954,35.76298164674614,28.108764699923086,23604.416114738095,23604.416114738095,23604.416114738095,19851.863529216338,301.35955874903857
2026-03-16T18:18:12.733,41.767065783580954,41.767065783580954,41.767065783580954,35.76298164674614,28.108764699923086,23604.416114738095,23604.416114738095,23604.416114738095,19851.863529216338,301.35955874903857
2026-03-16T18:18:12.828,37.95322889552873,41.267256534613495,41.530363038136876,39.85032621701828,37.28124503702285,21220.768059705457,23292.035334133434,23456.476898835546,22406.453885636423,416.0155629627856
2026-03-16T18:18:12.950,37.95322889552873,41.267256534613495,41.530363038136876,39.85032621701828,37.28124503702285,21220.768059705457,23292.035334133434,23456.476898835546,22406.453885636423,416.0155629627856
2026-03-16T18:18:13.058,37.95322889552873,41.267256534613495,41.530363038136876,39.85032621701828,37.28124503702285,21220.768059705457,23292.035334133434,23456.476898835546,22406.453885636423,416.0155629627856
2026-03-16T18:18:13.167,39.27298362450737,40.29269745859317,40.94830033198102,40.794901617542926,40.23943685135683,22045.614765317107,22682.93591162073,23092.687707488134,22996.81351096433,452.99296064196034
2026-03-16T18:18:13.269,39.27298362450737,40.29269745859317,40.94830033198102,40.794901617542926,40.23943685135683,22045.614765317107,22682.93591162073,23092.687707488134,22996.81351096433,452.99296064196034
2026-03-16T18:18:13.399,39.27298362450737,40.29269745859317,40.94830033198102,40.794901617542926,40.23943685135683,22045.614765317107,22682.93591162073,23092.687707488134,22996.81351096433,452.99296064196034
2026-03-16T18:18:13.484,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:13.600,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:13.708,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:13.818,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:13.944,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.038,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.147,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.272,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.358,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.476,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.601,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.693,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.803,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:14.927,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.019,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.127,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.235,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.359,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.461,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.577,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.701,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,472.0883222947619
2026-03-16T18:18:15.811,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.32183658290037,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,466.5229572862546
2026-03-16T18:18:15.919,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.32183658290037,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,466.5229572862546
2026-03-16T18:18:16.027,41.767065783580954,41.767065783580954,41.767065783580954,41.767065783580954,41.32183658290037,23604.416114738095,23604.416114738095,23604.416114738095,23604.416114738095,466.5229572862546
2026-03-16T18:18:16.134,41.07523554006582,40.99521766412909,41.162567600543085,41.246663296179406,40.28511938584252,23172.02221254114,23122.011040080684,23226.60475033943,23279.164560112127,453.5639923230315
2026-03-16T18:18:16.243,41.07523554006582,40.99521766412909,41.162567600543085,41.246663296179406,40.28511938584252,23172.02221254114,23122.011040080684,23226.60475033943,23279.164560112127,453.5639923230315
2026-03-16T18:18:16.367,41.07523554006582,40.99521766412909,41.162567600543085,41.246663296179406,40.28511938584252,23172.02221254114,23122.011040080684,23226.60475033943,23279.164560112127,453.5639923230315
2026-03-16T18:18:16.460,39.972162905722875,39.86237545227227,40.0481178990285,40.1905328890987,39.22070886379181,22482.601816076796,22413.984657670168,22530.07368689281,22619.083055686686,440.2588607973977
2026-03-16T18:18:16.568,39.972162905722875,39.86237545227227,40.0481178990285,40.1905328890987,39.22070886379181,22482.601816076796,22413.984657670168,22530.07368689281,22619.083055686686,440.2588607973977
2026-03-16T18:18:16.679,39.972162905722875,39.86237545227227,40.0481178990285,40.1905328890987,39.22070886379181,22482.601816076796,22413.984657670168,22530.07368689281,22619.083055686686,440.2588607973977
2026-03-16T18:18:16.782,38.867915221991524,38.763425448834404,38.945105012959544,39.081435637128756,38.11337418590448,21792.447013744702,21727.1409055215,21840.690633099715,21925.89727320547,426.417177323806
2026-03-16T18:18:16.915,38.867915221991524,38.763425448834404,38.945105012959544,39.081435637128756,38.11337418590448,21792.447013744702,21727.1409055215,21840.690633099715,21925.89727320547,426.417177323806
2026-03-16T18:18:17.008,38.867915221991524,38.763425448834404,38.945105012959544,39.081435637128756,38.11337418590448,21792.447013744702,21727.1409055215,21840.690633099715,21925.89727320547,426.417177323806
2026-03-16T18:18:17.112,37.766127175539296,37.69121279800561,37.83749648881644,38.030139861218146,37.06986062268064,21103.82948471206,21057.007998753506,21148.435305510277,21268.837413261343,413.37325778350805
