timestamp_iso,P1_mA,P2_mA,P3_mA,P4_mA,DP_mA,P1_eng,P2_eng,P3_eng,P4_eng,DP_eng
2026-04-14T12:14:24.864,4.003717899544114,4.005750418052102,4.004155874500029,4.003576278899686,3.4956723500500764,2.3236872150711463,3.5940112825638693,2.5974215625179653,2.2351743123039114,-6.304095624374045
2026-04-14T12:14:24.959,4.003717899544114,4.005750418052102,4.004155874500029,4.003576278899686,3.4956723500500764,2.3236872150711463,3.5940112825638693,2.5974215625179653,2.2351743123039114,-6.304095624374045
2026-04-14T12:14:25.083,4.003717899544114,4.005750418052102,4.004155874500029,4.003576278899686,3.4956723500500764,2.3236872150711463,3.5940112825638693,2.5974215625179653,2.2351743123039114,-6.304095624374045
2026-04-14T12:14:25.178,4.003967046974125,4.005398989045561,4.003885746233806,4.0038542749794885,0.026124932800696145,2.4794043588283188,3.37436815347536,2.42859139612861,2.4089218621803354,-49.6734383399913
2026-04-14T12:14:25.302,4.003967046974125,4.005398989045561,4.003885746233806,4.0038542749794885,0.026124932800696145,2.4794043588283188,3.37436815347536,2.42859139612861,2.4089218621803354,-49.6734383399913
2026-04-14T12:14:25.388,4.003967046974125,4.005398989045561,4.003885746233806,4.0038542749794885,0.026124932800696145,2.4794043588283188,3.37436815347536,2.42859139612861,2.4089218621803354,-49.6734383399913
2026-04-14T12:14:25.518,4.003833294143277,4.005648136475571,4.004113912827606,4.003927707906229,0.03322999838228437,2.3958088395481525,3.5300852972319774,2.5711955172535994,2.4548174413929758,-49.584625020221445
2026-04-14T12:14:25.611,4.003833294143277,4.005648136475571,4.004113912827606,4.003927707906229,0.03322999838228437,2.3958088395481525,3.5300852972319774,2.5711955172535994,2.4548174413929758,-49.584625020221445
2026-04-14T12:14:25.735,4.003833294143277,4.005648136475571,4.004113912827606,4.003927707906229,0.03322999838228437,2.3958088395481525,3.5300852972319774,2.5711955172535994,2.4548174413929758,-49.584625020221445
2026-04-14T12:14:25.831,4.0038778784202265,4.005496025413038,4.0040221216691805,4.003652334430953,0.012776172587495008,2.4236740126415413,3.435015883148651,2.513826043237799,2.2827090193455746,-49.84029784265631
2026-04-14T12:14:25.962,4.0038778784202265,4.005496025413038,4.0040221216691805,4.003652334430953,0.012776172587495008,2.4236740126415413,3.435015883148651,2.513826043237799,2.2827090193455746,-49.84029784265631
2026-04-14T12:14:26.048,4.0038778784202265,4.005496025413038,4.0040221216691805,4.003652334430953,0.012776172587495008,2.4236740126415413,3.435015883148651,2.513826043237799,2.2827090193455746,-49.84029784265631
2026-04-14T12:14:26.157,4.003494978159367,4.005364895186716,4.004168987522661,4.003628730990215,0.027449352874068578,2.1843613496042025,3.3530594916975076,2.6056172016630796,2.2679568688843688,-49.65688308907414
